1603273800
12345678X/0,079968/0,07993601/0,92/0,08/0,08/0,08/0,08/0,08/0,33/212371918
1234O6X8X/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/17246495
1234OXXOX/0,01/0,89/0,05/0,01/0,01/0,01/0,01/0,01/0,01/11798552
OX34OXXOX/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/12569007
XX3OXOX8O/0,02/0,02/0,86/0,02/0,02/0,02/0,02/0,02/0,02/222569
123456X89/0,04/0,04/0,16/0,04/0,4/0,17/0,04/0,01019184/0,01/183339044
1234XOX89/0,11/0,1/0,17/0,12/0,12/0,12/0,11/0,07/0,07/19383806
X234XOX8O/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/666354
1X345OX89/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,020399999/0,02/1111834
OX345OXX9/0,1/0,1/0,09/0,1/0,09/0,09/0,1/0,08/0,23/222446
XX3O56789/0,14/0,16/0,15/0,15/0,07/0,07/0,07/0,08/0,08/17154497
1X3456789/0,24/0,21/0,07/0,0784/0,0783373/0,07836864/0,92/0,0784/0,0784/172343789
XX3O567XO/0,07/0,09/0,37/0,07/0,06/0,067228/0,0686/0,09/0,09/6642249
123O5XX89/0,11/0,15/0,11/0,11/0,09/0,1/0,09/0,11/0,11/1110099
1X3O5XX8O/0,1/0,09/0,1/0,1/0,2/0,1/0,1/0,09/0,1/221636
1O34XX7XO/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/221566
XOO4XX7XO/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/222649
1234X6789/0,13/0,13/0,13/0,14/0,13/0,0784/0,0784/0,92/0,08/172367397
1234XX78O/0,06/0,06/0,06/0,06/0,06/0,06/0,06/0,8299454/0,06/3021651
1234X6OX9/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1110658
XO34X6OX9/0,01/0,01/0,32/0,31/0,01/0,31/0,01/0,01/0,01/221820
XO3XXOOX9/0,02/0,02/0,81/0,02/0,02/0,02/0,02/0,02/0,03/221770
X23456OX9/0,02/0,83/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1111060
XOXOX6OX9/0,02/0,02/0,02/0,02/0,02/0,83/0,02/0,02/0,03/221910
1234567X9/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,9192642/172327572
XX3O56X8O/0,1/0,1/0,2/0,1/0,1/0,1/0,1/0,07/0,1/222363
XXOOX6X8O/0,02/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/222086
X23456789/0,33/0,0784/0,92/0,08/0,08/0,08/0,08/0,08/0,08/172316997
X23O56X89/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1110631
X23O5678X/0,03/0,03/0,03/0,03/0,75/0,03/0,03/0,03/0,03/1110400
X2OO5X78X/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222152
XXOO5XO8X/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/222756
12OXX67OX/0,12/0,09/0,11/0,1/0,11/0,09943129/0,1014605/0,11/0,11/222488
12O4X678X/0,85/0,02/0,02/0,02/0,02/0,01/0,01/0,01/0,02/5365750
12345X789/0,02/0,02/0,02/0,02/0,87/0,02/0,01959216/0,01959216/0,919632/172320564
O2345X78X/0,02/0,02/0,84/0,02/0,02/0,02/0,0196/0,02/0,02/17155735
OO345X7XX/0,02/0,02/0,56/0,02/0,02/0,02/0,31/0,02/0,02/222840
X2O4X6OX9/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/222849
X234X6O89/0,08/0,1/0,16/0,09/0,09/0,1/0,1/0,13/0,13/1109980
1XXO567XO/0,11/0,2/0,11/0,11/0,01/0,01/0,01/0,11/0,2/7406201
1X3O567X9/0,02/0,02/0,02/0,02/0,83/0,02/0,02/0,02/0,02/17158038
OXXO5X7XO/0,01/0,01/0,01/0,01/0,43/0,01/0,51/0,01/0,01/221694
1XOX5X78O/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/221140
1XOX5XOXO/0,02/0,02/0,02/0,02/0,92/0,02/0,02/0,02/0,02/338745
1XOX56789/0,02/0,02/0,02/0,02/0,86/0,02/0,02/0,02/0,02/1111952
12XOX6789/0,11/0,15/0,09/0,09/0,11/0,07/0,19/0,11/0,08/1110905
12XOX67OX/0,13/0,13/0,13/0,13/0,13/0,04/0,04/0,13/0,13/224741
1XXOXO7OX/0,12/0,12/0,12/0,12/0,12/0,12/0,04/0,12/0,12/223409
12O4X6X89/0,82/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1109678
12OOX6XX9/0,1/0,21/0,09/0,1/0,1/0,1/0,1/0,1/0,1/221961
XOOOX6XX9/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,84/222421
X234567OX/0,08/0,08/0,08/0,08/0,37/0,08/0,08/0,08/0,08/1111570
X234OX7OX/0,01/0,46/0,47/0,01/0,01/0,01/0,01/0,01/0,01/221876
O234O6XXX/0,04/0,68/0,04/0,04/0,04/0,04/0,04/0,04/0,04/1057376
O23XOOXXX/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/952656
1234O67XX/0,01/0,01/0,01/0,01/0,01/0,01/0,88/0,01/0,01/3494208
12X45X78O/0,02/0,02/0,02/0,02/0,84/0,02/0,92/0,02/0,02/4752947
12X456789/0,17/0,18/0,17/0,07/0,0784/0,0784/0,0784/0,0784/0,92/172332826
1XX45XO8O/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,92/0,02/2175406
O23X567X9/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1110882
O23XO6XX9/0,01/0,47/0,01/0,01/0,01/0,01/0,01/0,01/0,45/222256
XO34XXOXO/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/4848357
1234X67XO/0,13/0,13/0,13/0,13/0,13/0,010199999/0,01/0,13/0,13/21441983
1234XXOXO/0,01/0,01/0,01/0,01/0,25/0,1/0,1/0,25/0,09/8319545
1O3456XX9/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/1114351
XOO456XX9/0,11/0,12/0,11/0,12/0,11/0,1/0,12/0,12/0,12/222123
1X3XX6O8O/0,05/0,05/0,05/0,05/0,05/0,05/0,05/0,92/0,05/636581
123X56789/0,17/0,15/0,15/0,15/0,07/0,07/0,07/0,82464963/0,0783373/172332197
123XX678O/0,07/0,07/0,07/0,07/0,07/0,422576/0,07/0,07/0,07/1271119
XX3XX6OOO/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/222669
123XOX789/0,35/0,31/0,29/0,01/0,01/0,01/0,01/0,01/0,01/3331855
1OOXOXX8X/0,47/0,01/0,01/0,01/0,01/0,01/0,01/0,48/0,01/222237
1O3XOXX89/0,45/0,01/0,01/0,01/0,01/0,01/0,01/0,48/0,01/222214
12345X7XO/0,02/0,02/0,02/0,02/0,84/0,02/0,8421529/0,02/0,02/23027817
1OOX5XXXO/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/222236
1O345XXXO/0,85/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/222665
1X3XO6789/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/5555249
1XXXOO789/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/9302332
1XXXOOO8X/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/8117690
1XX45O7OX/0,11/0,11/0,11/0,11/0,11/0,11/0,08/0,11/0,11/221833
1X345O78X/0,02/0,02/0,02/0,02/0,82/0,02/0,02/0,02/0,02/1111962
123XX67O9/0,12/0,15/0,13/0,08/0,11/0,11/0,12/0,1/0,84485257/20651478
1O3X5XXO9/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222555
1O3X56X89/0,85/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1112086
1XOX5XO89/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/222945
123X5XO89/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/19692788
1X3456XO9/0,13/0,12/0,12/0,12/0,12/0,12/0,11/0,11/0,01/21284766
1X3XOOXXO/0,05/0,01/0,92/0,01/0,01/0,01/0,01/0,01/0,01/3874467
1X3X5O789/0,1/0,08/0,12/0,11/0,13/0,11/0,1/0,11/0,11/1110432
1X3XOOX89/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1109540
1X345X7O9/0,11/0,09/0,18/0,11/0,11/0,07/0,1/0,1/0,12/1111901
XX3O5X7O9/0,11/0,11/0,11/0,11/0,11/0,11/0,12/0,11/0,08/3432750
XX3OXX7OO/0,1/0,09/0,13/0,1/0,13/0,13/0,14/0,09/0,1/2361420
1X345O7X9/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/1111856
1X34OOXX9/0,01/0,01/0,01/0,45/0,01/0,01/0,01/0,01/0,48/222031
OXX4OOXX9/0,01/0,01/0,01/0,44/0,01/0,01/0,01/0,01/0,51/222032
1X3456X8O/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,015337437/0,02/1269885
1X3OX6X8O/0,1/0,1/0,15/0,09/0,08/0,16/0,11/0,11/0,09/222649
X2O45XXO9/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,01/571390
12345XXO9/0,12/0,11/0,1/0,11/0,18/0,1/0,1/0,11/0,010199999/21291371
12O45X7X9/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/1109202
12OOXX7X9/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/222223
12OOXXOXX/0,92/0,44/0,01/0,01/0,01/0,01/0,01/0,01/0,01/1174344
1X3X567O9/0,11/0,1/0,12/0,11/0,11/0,12/0,12/0,1/0,92/18903512
X2XOO678X/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/222303
12XO5678X/0,03/0,03/0,03/0,03/0,03/0,77/0,03/0,03/0,03/1112307
1OX45678X/0,04/0,04/0,04/0,04/0,69/0,04/0,04/0,04/0,04/1112157
OOX4567XX/0,04/0,04/0,04/0,04/0,04/0,04/0,67/0,04/0,04/222237
XO3X56O8X/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/223083
