80000
1X3456789/0,11/0,11/55,67789/-0,55499995/-0,55499995/-0,55499995/-0,55499995/-0,55499995/-0,55499995/28045
1X34O678X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2
1X34OO7XX/0,11/0,11/0,11/0,11/0,015000001/0,11/0,205/0,11/0,11/1
XX34OOOXX/0,11/0,11/0,395/0,11/0,015000001/0,11/0,11/0,11/0,11/3
XX34O6789/0,11/0,11/0,11/0,11/0,015000001/0,015000001/0,015000001/0,11/0,11/2
XX3XOO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-0,59499985/-0,59499985/-0,59499985/99
123456789/0,11/0,11/0,11/0,11/1579,6462/0,11/0,11/0,11/0,11/231698
X234O6789/0,11/0,11/0,11/0,11/0,015000001/22,219456/-0,08/-0,17499995/-0,175/29188
X234OO78X/0,11/0,11/0,11/0,11/0,015000001/0,11/95,91485/0,11/0,11/9681
X234OOOXX/0,11/73,50117/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/3591
1234567X9/0,11/0,11/0,11/0,11/0,205/0,11/0,11/0,11/142,70355/27757
1234O67XX/0,11/0,11/0,11/0,11/0,015000001/0,205/0,11/0,11/0,11/1
123XOO7XX/0,11/0,11/0,11/0,11/0,015000001/0,11/2,42501/0,11/0,11/157
X23XOOOXX/0,11/3,215013/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/135
12345X789/0,11/0,11/0,11/0,11/0,015000001/0,11/-110,9778/-110,98274/-110,98274/27653
12X4OX789/0,11/0,11/0,11/0,11/0,015000001/0,11/-4,390021/-4,3850207/-4,385023/922
1XX4OXO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-1,185/-1,185/86
12X4O6789/0,11/0,11/0,11/0,11/0,015000001/5,530071/-0,36499998/-0,36499998/-0,36499998/28821
12XXOO789/0,11/0,11/0,11/0,11/0,015000001/0,11/88,174614/0,11/0,11/9525
1XXXOOO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,1800044/-2,3500023/4248
1XXXOOOOX/224,93498/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/11727
123X56789/0,11/0,11/0,11/0,11/-64,90738/-64,91234/-64,91234/-64,91234/-64,90734/27638
1X3XO6789/0,11/0,11/0,11/0,11/0,015000001/-4,4850187/-4,485021/-4,485021/-4,480021/1215
1X3XOO78X/0,11/0,11/0,11/0,11/0,015000001/0,11/-0,6299997/-0,6299999/0,11/216
1XXXOOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,3700082/0,11/172
123XO6789/0,11/0,11/0,11/0,11/0,015000001/289,70148/0,11/0,11/0,11/28804
123XOO78X/0,11/0,11/0,11/0,11/0,015000001/0,11/192,38081/0,11/0,11/9664
1X3XOOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/96,6193/0,11/4868
1XOX56789/0,11/0,11/0,11/0,11/41,316788/0,11/0,11/0,11/0,11/4003
1XOXO67X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/14,715081/815
1XOXOX7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/15,805079/0,11/0,11/781
1X345XO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-13,910055/-13,910057/1611
1X34OXOX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,015000001/1
1XX4OXOXO/0,11/0,11/0,11/-20,949373/0,015000001/0,11/0,11/0,11/0,11/936
1234OX789/0,11/0,11/0,11/0,11/0,015000001/0,11/392,81696/0,11/0,11/29109
123XOXO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/99,60448/0,11/4853
12XXOXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/25,654154/1203
X2XXOXOOO/0,11/73,126526/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/3660
1234X6789/0,11/0,11/0,11/0,11/0,015000001/-103,62831/-103,633255/-103,633255/-103,633255/27715
123XXO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-6,9900293/-6,990034/-6,9900317/1894
12XXXOO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-1,2399998/-1,2549996/381
12XXXOOOX/25,579151/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1206
X23XOOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/147,44917/0,11/7235
XX3XOOOOX/0,11/0,11/218,05522/0,11/0,015000001/0,11/0,11/0,11/0,11/11719
12X456789/0,11/0,11/0,11/-60,382755/-60,382755/-60,382774/-60,382774/-60,382774/-60,382774/27920
12XXO6789/0,11/0,11/0,11/0,11/0,015000001/-6,82003/-6,82003/-6,820035/-6,8250327/2147
1XXXOO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-1,74/-1,7449999/-1,7399999/229
1XXXOOOX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-0,8299999/26
1X34O6789/0,11/0,11/0,11/0,11/0,015000001/0,015000001/149,67767/0,11/0,11/28745
XX34OO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-12,660061/-12,655061/-12,655065/4830
XX34OOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/2,8749988/0,11/4277
1234OXOX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/95,34452/4775
12X4OXOXO/0,11/0,11/0,11/95,76456/0,015000001/0,11/0,11/0,11/0,11/4769
1XXOOXOXO/48,417103/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2389
12X45X7O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-27,609034/1503
12X4OXXO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-1,43/158
X2X4OXXOO/0,11/0,11/0,11/-27,11904/0,015000001/0,11/0,11/0,11/0,11/1342
1234O678X/0,11/0,11/0,11/0,11/0,015000001/434,78625/0,11/0,11/0,11/28985
12X4OO78X/0,11/0,11/0,11/0,11/0,015000001/0,11/93,73992/0,11/0,11/9670
1XX4OOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,105001/0,11/4329
123X5O78X/0,11/0,11/0,11/0,11/0,015000001/0,11/-2,9950128/-2,9900148/0,11/654
123XOOX8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-1,2799999/0,11/162
1X3XOOXOX/0,11/0,11/-2,895017/0,11/0,015000001/0,11/0,11/0,11/0,11/169
1X34OXO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/99,464714/0,11/9537
1X3XOXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/73,69604/3612
1XXXOXOOO/147,3143/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/7118
X23X56O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-5,815031/-5,8100333/730
X2XXO6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,0650015/-2,0700014/205
X2XXOXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-2,7950146/149
X234OOX89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-20,044346/-20,044355/4932
1X34O6OX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/48,35705/4767
1X3XO6OXO/0,11/0,11/0,11/0,11/0,015000001/48,52224/0,11/0,11/0,11/2518
1XXXOOOXO/216,1801/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/10697
12345678X/0,015000001/0,015000001/120,31036/0,11/0,015000001/0,015000001/0,015000001/0,015000001/0,11/27539
1234OX78X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,015000001/0,11/0,11/1
1234OXO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/48,46217/0,11/4832
X234OXOOX/0,11/25,42913/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1230
123456X89/0,11/0,11/0,11/0,11/0,205/0,11/0,11/-180,03804/-180,03804/27791
1234O6XX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,205/1
12X4O6XXO/0,11/0,11/0,11/0,11/0,015000001/14,900061/0,11/0,11/0,11/618
X2X4OOXXO/0,11/0,11/0,11/20,254389/0,015000001/0,11/0,11/0,11/0,11/915
12345XX8O/0,11/0,11/0,11/0,11/0,205/0,11/0,11/-49,557064/0,11/3366
123XOXX8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-1,0799999/0,11/138
12XXOXXOO/52,462433/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2694
1X345O78X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/3
